record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,total,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,,,Sum of total,Column Labels,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004055,,,,,,1,3,1955,19560430,19560430,3F42001  300002 R,3F42001  300002 H,3F42001  290159 S,G,H,,,2.21,,,,,,,0,238747,,,238747,B,,,,,,KLICKITAT R  30.0002,KLICKITAT HATCHERY (YKFP),SPRING CR    29.0159,WA,CECR,KLIC,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004056,,,,,,1,1,1955,19560501,19560501,3F42001  300002 R,3F42001  300002 H,3F42001  300002 S,G,H,,,2.16,,,,,,,0,84267,,,84267,B,,,,,,KLICKITAT R  30.0002,KLICKITAT HATCHERY (YKFP),KLICKITAT R  30.0002,WA,CECR,KLIC,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004057,,,,,,1,3,1955,19560502,19560502,3F42001  25     R,3F42001  300002 H,3F42001  290159 S,G,H,,,2.29,,,,,,,0,230806,,,230806,B,,,,,,COL.R. NEAR BASIN 25,KLICKITAT HATCHERY (YKFP),SPRING CR    29.0159,WA,LOCR,GREL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004059,,,,,,1,3,1955,19560502,19560502,3F21902  240277 R,3F21902  240356 H,3F10510  090072 S,G,H,,,2.05,,,,,,,0,39820,,,39820,B,,,,,,WILLAPA R-SF 24.0277,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004061,,,,,,1,3,1955,19560503,19560503,3F21902  240251 R,3F21902  240356 H,3F10510  090072 S,G,H,,,2.07,,,,,,,0,23980,,,23980,B,,,,,,WILLAPA R    24.0251,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004064,,,,,,1,3,1955,19560507,19560507,3F21902  240277 R,3F21902  240356 H,3F10510  090072 S,G,H,,,2.33,,,,,,,0,40546,,,40546,B,,,,,,WILLAPA R-SF 24.0277,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004065,,,,,,1,3,1955,19560507,19560507,3F21902  240356 R,3F21902  240356 H,3F10510  090072 S,G,H,,,2.33,,,,,,,0,26966,,,26966,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004066,,,,,,1,3,1955,19560507,19560507,3F21902  240251 R,3F21902  240356 H,3F10510  090072 S,G,H,,,2.33,,,,,,,0,38800,,,38800,B,,,,,,WILLAPA R    24.0251,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,SJ,1,43221,0,,,,,1,1,1987,19890522,19890522,1M1NW113 41,1F1NW113 4110190,1F1SE106 4410310,S,H,P,,19.5,,,5000,10839,,,0,37639,5000,44,48522,,0.004,62,500,,,SITKA SOUND 113-41,SHELDON JACKSON,CRYSTAL CR,AK,SEAK,SENW,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004068,,,,,,1,3,1955,19560508,19560508,3F10510  080178 R,3F10510  080178 H,3F10510  090072 S,G,H,,,2,,,,,,,0,25000,,,25000,B,,,,,,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,BIG SOOS CR  09.0072,WA,MPS,LAKW,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004070,,,,,,1,3,1955,19560508,19560508,3F10510  080178 R,3F10510  080178 H,3F10510  090072 S,G,H,,,2,,,,,,,0,25000,,,25000,B,,,,,,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,BIG SOOS CR  09.0072,WA,MPS,LAKW,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004071,,,,,,1,3,1955,19560508,19560508,3F10510  080178 R,3F10510  080178 H,3F10510  080178 S,G,H,,,1.39,,,,,,,0,81561,,,81561,B,,,,,,ISSAQUAH CR  08.0178,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004077,,,,,,1,3,1955,19560508,19560508,3F21902  240356 R,3F21902  240356 H,3F10510  090072 S,G,H,,,2.51,,,,,,,0,12600,,,12600,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160202,CDFO,CDFO,3,!03AD0892,16,,,,,1,1,2008,20090606,20090606,2FN  YUKNR5572,2FN  YUKNH0959,2FN  YUKNS0959,F,H,P,,2.52,,N,,,,,5000,26391,,,26391,,,,,,(Psuedo Tag Total: 26338) -,R-McClintock R,H-Yukon River H,S-Yukon R,BC,UPYR,UPYRG,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004090,,,,,,1,3,1955,19560514,19560514,3F21802  220414 R,3F21802  220360 H,3F21802  220462 S,P,H,,,3.23,,,,,,,0,38780,,,38780,B,,,,,,SATSOP R -MF 22.0414,BINGHAM CR HATCHERY,SATSOP SPRNG 22.0462,WA,GRAY,GHLC,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004091,,,,,,1,3,1955,19560515,19560515,3F21902  240460 R,3F21902  240460 H,3F21902  240460 S,G,H,,,2.74,,,,,,,0,54452,,,54452,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,NEMAH R      24.0460,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004093,,,,,,1,3,1955,19560515,19560515,3F21902  240460 R,3F21902  240460 H,3F21902  240460 S,G,H,,,2.74,,,,,,,0,62370,,,62370,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,NEMAH R      24.0460,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004094,,,,,,1,3,1955,19560515,19560515,3F21902  240460 R,3F21902  240460 H,3F10510  090072 S,G,H,,,2.51,,,,,,,0,73980,,,73980,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,BIG SOOS CR  09.0072,WA,WILP,NASE,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184407,0,,,,,1,3,2000,20010514,20010614,2FS  GSVIR0100,2FS  GSVIH0100,2FS  GSVIS0100,S,H,P,,7.16,90,N,5000,27041,,,0,392041,5000,552,419634,B,0.02,1,100,,,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004095,,,,,,1,3,1955,19560515,19560515,3F21902  240460 R,3F21902  240460 H,3F10510  090072 S,G,H,,,2.51,,,,,,,0,25560,,,25560,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,BIG SOOS CR  09.0072,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004096,,,,,,1,3,1955,19560515,19560515,3F21902  240460 R,3F21902  240460 H,3F21902  240460 S,G,H,,,2.74,,,,,,,0,96195,,,96195,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,NEMAH R      24.0460,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004098,,,,,,1,3,1955,19560516,19560516,3F10107  030005 R,3F10107  030017 H,3F10107  030017 S,G,H,,,2.44,,,,,,,0,49395,,,49395,B,,,,,,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184408,0,,,,,1,3,2000,20010514,20010530,2FS  GSVIR0100,2FS  GSVIH0100,2FS  GSVIS0100,S,H,P,,7.78,85,N,5000,27100,,,0,608464,5000,553,636117,B,0.02,1,100,,RW1.  INCLUDES 226449 FROM RW3 (8.22G 88.18MM),R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004099,,,,,,1,3,1955,19560516,19560516,3F42001  270017 R,3F42001  270017 H,3F42001  270017 S,G,H,,,2.26,,,,,,,0,80848,,,80848,B,,,,,,FALLERT CR   27.0017,FALLERT CR HATCHERY,FALLERT CR   27.0017,WA,LOCR,LEWI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004101,,,,,,1,3,1955,19560517,19560517,3F21902  240356 R,3F21902  240356 H,3F              S70,S,H,,,4.19,,,,,,,0,38872,,,38872,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,UNSPECIFIC WILDSTOCK,WA,WILP,WILR,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184717,0,,,,,1,3,2001,20020509,20020509,2FS  GSVIR0126,2FS  GSVIH0126,2FS  GSVIS0126,S,H,P,,4.68,77,N,5000,25119,,,0,77798,,,102917,B,,1,100,,"MAINSTEM; ALSO 184718 (MAINSTEM) & COMP TO 183205-06, 184715-16 & 184628.",R-Nanaimo R,H-Nanaimo River H,S-Nanaimo R,BC,GST,GSVI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004102,,,,,,1,3,1955,19560517,19560517,3F21902  240356 R,3F21902  240356 H,3F              S70,S,H,,,4.19,,,,,,,0,55201,,,55201,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,UNSPECIFIC WILDSTOCK,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004103,,,,,,1,3,1955,19560517,19560517,3F10510  090072 R,3F10510  090072 H,3F10510  090072 S,G,H,,,2.02,,,,,,,0,620473,,,620473,B,,,,,,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004104,,,,,,1,3,1955,19560517,19560517,3F10510  090072 R,3F10510  090072 H,3F10510  090072 S,G,H,,,2.01,,,,,,,0,620472,,,620472,B,,,,,,BIG SOOS CR  09.0072,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,MPS,DUWA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004105,,,,,,1,3,1955,19560517,19560517,3F21902  240460 R,3F21902  240460 H,3F10510  090072 S,G,H,,,2.51,,,,,,,0,208800,,,208800,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,BIG SOOS CR  09.0072,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160809,ADFG,ADFG,12,!12751ADFG01,,,,,,1,1,1974,19750530,19750602,1F2UC247 5010060,1F2UC247 5010060999,1F2UC247 5010060,S,H,P,,28.8,,N,,,,,5000,21400,,,21400,,,,,,,SHIP CR 247-50,FORT RICHARDSON,SHIP CR,AK,CEAK,UCI,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,NSRA,1,43639,0,,,,,1,1,1990,19920528,19920528,1M1NE112 11,1F1NE112 1110110,1F1NW113 4110280,S,H,B,,34.28,,N,5000,7143,,,0,125805,5000,337,133285,B,0.0451,3,509,,,KASNYKU BAY 112-11,HIDDEN FALLS,MEDVEJIE,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160809,ADFG,ADFG,1,43813,0,,,,,1,1,1990,19920610,19920610,1M1NE115 34,1F1NE115 3410310,1F1NE115 3210250175,S,H,B,,14,,N,5000,11834,,,5000,71,,,11905,W,0.006,52,507,,,TAIYA INLET 115-34,JERRY MYERS,TAHINI R,AK,SEAK,SENE,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184718,0,,,,,1,3,2001,20020509,20020509,2FS  GSVIR0126,2FS  GSVIH0126,2FS  GSVIS0126,S,H,P,,4.68,77,N,5000,25355,,,0,78528,,,103883,B,,1,100,,"MAINSTEM; ALSO 184717 (MAINSTEM) & COMP TO 183205-06, 184715-16 & 184628.",R-Nanaimo R,H-Nanaimo River H,S-Nanaimo R,BC,GST,GSVI,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184721,0,,,,,1,3,2002,20030613,20030613,2FS  NWVIR0006,2FS  NWVIH0351,2FS  NWVIS0351,S,H,P,,5.6,,N,5000,27769,,,0,55811,,,83580,W,,1,100,,RELEASED TO BOAT LAUNCH ACROSS FROM MARBLE HATCHERY.,R-Alice Lk Outlet,H-Marble River H,S-Marble R,BC,WCVI,NWVI,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184729,0,,,,,1,1,2001,20020501,20020507,2FN  NCSTR0146,2FN  CCSTH0146,2FN  NCSTS0146,S,H,P,,8.5,90,N,5000,29240,,,0,307943,,,337183,B,,10,953,,"SEE ALSO 184728, 30 & 31.",R-Kitimat R,H-Kitimat River H,S-Kitimat R,BC,,,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184730,0,,,,,1,1,2001,20020507,20020513,2FN  NCSTR0146,2FN  CCSTH0146,2FN  NCSTS0146,S,H,P,,8.6,91,N,5000,29472,,,0,307943,,,337415,B,,10,723,,"SEE ALSO 184728, 29 & 31.",R-Kitimat R,H-Kitimat River H,S-Kitimat R,BC,,,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184731,0,,,,,1,1,2001,20020513,20020513,2FN  NCSTR0146,2FN  CCSTH0146,2FN  NCSTS0146,S,H,P,,8.7,92,N,5000,27770,,,0,307942,,,335712,B,,10,736,,"SEE ALSO 184728, 29 & 30.",R-Kitimat R,H-Kitimat River H,S-Kitimat R,BC,,,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004106,,,,,,1,3,1955,19560517,19560517,3F21902  240460 R,3F21902  240460 H,3F10510  090072 S,G,H,,,2.51,,,,,,,0,144360,,,144360,B,,,,,,NORTH NEMAH R24.0460,NEMAH HATCHERY,BIG SOOS CR  09.0072,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004107,,,,,,1,3,1955,19560518,19560518,3F21902  240356 R,3F21902  240356 H,3F              S70,S,H,,,3.53,,,,,,,0,93194,,,93194,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,UNSPECIFIC WILDSTOCK,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004108,,,,,,1,3,1955,19560518,19560518,3F21902  240356 R,3F21902  240356 H,3F10510  090072 S,S,H,,,3.53,,,,,,,0,55169,,,55169,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004109,,,,,,1,3,1955,19560518,19560518,3F10107  030005 R,3F10107  030017 H,3F10107  030017 S,G,H,,,1.7,,,,,,,0,43460,,,43460,B,,,,,,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004110,,,,,,1,3,1955,19560518,19560518,3F10107  030005 R,3F10107  030017 H,3F10107  030017 S,G,H,,,1.43,,,,,,,0,45990,,,45990,B,,,,,,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004111,,,,,,1,3,1955,19560518,19560518,3F10107  030017 R,3F10107  030017 H,3F10107  030017 S,G,H,,,1.88,,,,,,,0,144404,,,144404,B,,,,,,FRIDAY CR    03.0017,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004114,,,,,,1,3,1955,19560518,19560518,3F21902  240356 R,3F21902  240356 H,3F10510  090072 S,S,H,,,4.05,,,,,,,0,106893,,,106893,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004115,,,,,,1,3,1955,19560518,19560518,3F21902  240356 R,3F21902  240356 H,3F10510  090072 S,S,H,,,3.53,,,,,,,0,39747,,,39747,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004116,,,,,,1,3,1955,19560518,19560518,3F21902  240251 R,3F21902  240356 H,3F10510  090072 S,S,H,,,3.9,,,,,,,0,104168,,,104168,B,,,,,,WILLAPA R    24.0251,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004117,,,,,,1,3,1955,19560519,19560519,3F21902  240356 R,3F21902  240356 H,3F              S70,S,H,,,3.48,,,,,,,0,94250,,,94250,B,,,,,,FORK CR      24.0356,FORKS CREEK HATCHERY,UNSPECIFIC WILDSTOCK,WA,WILP,WILR,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184732,0,,,,,1,3,2001,20020501,20020501,2MS  JNSTR0420,2MS  JNSTH0420,2FS  JNSTS0106,S,H,B,,9.4,93,N,5000,24715,,,0,164237,5000,9,188961,B,0.0004,1,2691,,SEAPEN REARED.  SEE ALSO 184735 AND 184733.,R-Discovery Pass,H-Discovery Passage Seape,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184733,0,,,,,1,3,2001,20020501,20020501,2MS  JNSTR0420,2MS  JNSTH0420,2FS  JNSTS0106,S,H,B,,8.86,92,N,5000,28131,,,0,161306,,,189437,B,,1,2246,,SEAPEN REARED. SEE ALSO 184735 AND 184734.,R-Discovery Pass,H-Discovery Passage Seape,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184734,0,,,,,1,3,2001,20020509,20020509,2MS  JNSTR0420,2MS  JNSTH0420,2FS  JNSTS0106,S,H,B,,9.05,93,N,5000,30964,,,0,185305,5000,58,216327,B,0.0019,1,2146,,"APRIL POINT, SEAPEN REARED.",R-Discovery Pass,H-Discovery Passage Seape,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184735,0,,,,,1,3,2001,20020422,20020507,2MS  JNSTR0420,2MS  JNSTH0420,2FS  JNSTS0106,S,H,B,,6.9,85,N,5000,29689,,,0,177884,,,207573,B,,1,2246,,SEAPEN REARED.  SEE ALSO 184732 AND 184735.,R-Discovery Pass,H-Discovery Passage Seape,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184736,0,,,,,1,3,2001,20020506,20020506,2FS  JNSTR0106,2FS  JNSTH0106,2FS  JNSTS0106,S,H,P,,8.65,94,N,5000,30285,,,0,287556,5000,153,317994,B,0.005,1,1993,,SEE ALSO 184737-42 (QUINSAM R) AND 184743 (QUINSAM LK).,R-Quinsam R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184737,0,,,,,1,3,2001,20020507,20020507,2FS  JNSTR0106,2FS  JNSTH0106,2FS  JNSTS0106,S,H,P,,8.4,94,N,5000,29922,,,0,289864,5000,14,319800,B,0.0005,1,2175,,SEE ALSO 184736 & 184738-42 (QUINSAM R) & 184743 (QUINSAM LK).,R-Quinsam R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184738,0,,,,,1,3,2001,20020507,20020507,2FS  JNSTR0106,2FS  JNSTH0106,2FS  JNSTS0106,S,H,P,,7.53,89,N,5000,31508,,,0,282876,5000,35,314419,B,0.0011,1,1811,,SEE ALSO 184736-37 184739-42 (QUINSAM R) & 184743 (QUINSAM LK).,R-Quinsam R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184739,0,,,,,1,3,2001,20020510,20020513,2FS  JNSTR0106,2FS  JNSTH0106,2FS  JNSTS0106,S,H,P,,7.35,90,N,5000,31732,,,0,366491,5000,35,398258,B,0.0011,1,1901,,SEE ALSO 184736-38 & 184740-42 (QUINSAM R) & 184743 (QUINSAM LK).,R-Quinsam R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,184740,0,,,,,1,3,2001,20020514,20020514,2FS  JNSTR0106,2FS  JNSTH0106,2FS  JNSTS0106,S,H,P,,8.07,91,N,5000,31330,,,0,167549,,,198879,B,,1,2159,,SEE ALSO 184736-39 & 184741-42 (QUINSAM R) & 184743 (QUINSAM LK).,R-Quinsam R,H-Quinsam River H,S-Quinsam R,BC,JNST,JNSTG,N,,,,,,,,,,,,
T,4.1,20160202,CDFO,CDFO,3,180169,12,,,,,1,3,2007,20080610,20080610,2FS  JNSTR6740,2FS  JNSTH0437,2FS  JNSTS0432,S,H,P,,5,,N,5000,25340,,,0,1877,,,27217,B,,1,100,,,R-Wagidis Ch,H-Gwa'ni H,S-Woss R,BC,JNST,JNSTG,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004118,,,,,,1,3,1955,19560519,19560519,3F10511  100414 R,3F10511  100414 H,3F10511  100414 S,G,H,,,2,,,,,,,0,102514,,,102514,B,,,,,,VOIGHT CR    10.0414,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004119,,,,,,1,3,1955,19560519,19560519,3F21902  240251 R,3F21902  240356 H,3F10510  090072 S,S,H,,,3.87,,,,,,,0,11700,,,11700,B,,,,,,WILLAPA R    24.0251,FORKS CREEK HATCHERY,BIG SOOS CR  09.0072,WA,WILP,WILR,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004122,,,,,,1,3,1955,19560521,19560521,3F10107  030017 R,3F10107  030017 H,3F10107  030017 S,G,H,,,1.7,,,,,,,0,33920,,,33920,B,,,,,,FRIDAY CR    03.0017,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004128,,,,,,1,3,1955,19560523,19560523,3F21902  240543 R,3F21902  240460 H,3F10510  090072 S,G,H,,,3.01,,,,,,,0,22500,,,22500,B,,,,,,NASELLE R    24.0543,NEMAH HATCHERY,BIG SOOS CR  09.0072,WA,WILP,NASE,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004129,,,,,,1,3,1955,19560523,19560523,3F42001  250236 R,3F42001  250236 H,3F42001  290159 S,G,H,,,2.05,,,,,,,0,92636,,,92636,B,,,,,,ELOCHOMAN R  25.0236,ELOCHOMAN HATCHERY,SPRING CR    29.0159,WA,LOCR,GREL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004130,,,,,,1,3,1955,19560523,19560523,3F42001  250236 R,3F42001  250236 H,3F42001  290159 S,G,H,,,2.05,,,,,,,0,93543,,,93543,B,,,,,,ELOCHOMAN R  25.0236,ELOCHOMAN HATCHERY,SPRING CR    29.0159,WA,LOCR,GREL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004131,,,,,,1,3,1955,19560523,19560523,3F42001  250236 R,3F42001  250236 H,3F42001  290159 S,G,H,,,2.05,,,,,,,0,92150,,,92150,B,,,,,,ELOCHOMAN R  25.0236,ELOCHOMAN HATCHERY,SPRING CR    29.0159,WA,LOCR,GREL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004132,,,,,,1,3,1955,19560523,19560523,3F42001  250236 R,3F42001  250236 H,3F42001  290159 S,G,H,,,2.05,,,,,,,0,91073,,,91073,B,,,,,,ELOCHOMAN R  25.0236,ELOCHOMAN HATCHERY,SPRING CR    29.0159,WA,LOCR,GREL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004133,,,,,,1,3,1955,19560523,19560523,3F42001  270168 R,3F42001  270168 H,3F42001  270168 S,G,H,,,2.26,,,,,,,0,164800,,,164800,B,,,,,,LEWIS R      27.0168,LEWIS RIVER HATCHERY,LEWIS R      27.0168,WA,LOCR,LEWI,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004142,,,,,,1,3,1955,19560529,19560529,3F42001  250131 R,3F42001  250236 H,3F42001  290159 S,G,H,,,2.27,,,,,,,0,23511,,,23511,B,,,,,,GRAYS R -WF  25.0131,ELOCHOMAN HATCHERY,SPRING CR    29.0159,WA,LOCR,GREL,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004143,,,,,,1,3,1955,19560531,19560531,3F10107  010120 R,3F10107  010406 H,3F10510  090072 S,G,H,,,2.82,,,,,,,0,16000,,,16000,B,,,,,,NOOKSACK R   01.0120,KENDALL CR HATCHERY,BIG SOOS CR  09.0072,WA,NOWA,NOOK,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004144,,,,,,1,3,1955,19560531,19560531,3F10107  010406 R,3F10107  010406 H,3F10510  090072 S,G,H,,,2.83,,,,,,,0,49593,,,49593,B,,,,,,KENDALL CR   01.0406,KENDALL CR HATCHERY,BIG SOOS CR  09.0072,WA,NOWA,NOOK,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004145,,,,,,1,3,1955,19560531,19560531,3F10107  010406 R,3F10107  010406 H,3F10510  090072 S,G,H,,,2.82,,,,,,,0,51138,,,51138,B,,,,,,KENDALL CR   01.0406,KENDALL CR HATCHERY,BIG SOOS CR  09.0072,WA,NOWA,NOOK,N,,,,,,,,,,,,
N,4.1,20160826,WDFW,WDFW,4,!04H00004146,,,,,,1,3,1955,19560531,19560531,3F10107  010120 R,3F10107  010406 H,3F10510  090072 S,G,H,,,2.82,,,,,,,0,27520,,,27520,B,,,,,,NOOKSACK R   01.0120,KENDALL CR HATCHERY,BIG SOOS CR  09.0072,WA,NOWA,NOOK,N,,,,,,,,,,,,
